,Model,Prediction_Time,Size
0,AdaBoost,0.006949663162231445,52072
1,AdaBoost,0.0027098655700683594,22034
2,AdaBoost,0.002743959426879883,22034
3,AdaBoost,0.006923675537109375,52072
4,AdaBoost,0.011159181594848633,83531
5,AdaBoost,0.006899595260620117,52072
6,AdaBoost,0.0026869773864746094,22034
7,AdaBoost,0.00690007209777832,52072
8,AdaBoost,0.006949186325073242,52072
9,AdaBoost,0.0068933963775634766,52072
10,AdaBoost,0.002721548080444336,22034
11,AdaBoost,0.020480632781982422,146440
12,AdaBoost,0.0070037841796875,52072
13,AdaBoost,0.011321544647216797,83531
14,AdaBoost,0.002696990966796875,22034
15,AdaBoost,0.007021427154541016,52072
16,Decision Tree,0.002656221389770508,21021
17,Decision Tree,0.002621173858642578,20730
18,Decision Tree,0.002610921859741211,20730
19,Decision Tree,0.003281116485595703,20877
20,Decision Tree,0.0026674270629882812,21021
21,Decision Tree,0.0026564598083496094,20877
22,Decision Tree,0.0025653839111328125,20730
23,Decision Tree,0.002630949020385742,21021
24,Decision Tree,0.0026314258575439453,21021
25,Decision Tree,0.002612590789794922,20877
26,Decision Tree,0.002657651901245117,20730
27,Decision Tree,0.002606630325317383,21024
28,Decision Tree,0.002620220184326172,20877
29,Decision Tree,0.002586841583251953,20877
30,Decision Tree,0.0026443004608154297,20730
31,Decision Tree,0.0026624202728271484,21021
32,Gaussian Naive Bayes,0.0026743412017822266,33816
33,Gaussian Naive Bayes,0.002677440643310547,33816
34,Gaussian Naive Bayes,0.0026466846466064453,33816
35,Gaussian Naive Bayes,0.0027425289154052734,33816
36,Gaussian Naive Bayes,0.002725839614868164,33816
37,Gaussian Naive Bayes,0.002694845199584961,33816
38,Gaussian Naive Bayes,0.002743244171142578,33816
39,Gaussian Naive Bayes,0.0028874874114990234,33816
40,Gaussian Naive Bayes,0.002671480178833008,33816
41,Gaussian Naive Bayes,0.002707242965698242,33816
42,Gaussian Naive Bayes,0.0042912960052490234,33816
43,Gaussian Naive Bayes,0.0048825740814208984,33816
44,Gaussian Naive Bayes,0.002692699432373047,33816
45,Gaussian Naive Bayes,0.002714872360229492,33816
46,Gaussian Naive Bayes,0.0027420520782470703,33816
47,Gaussian Naive Bayes,0.0026988983154296875,33816
48,Nearest Neighbors,0.006066083908081055,200206
49,Nearest Neighbors,0.005342721939086914,200206
50,Nearest Neighbors,0.004377126693725586,200205
51,Nearest Neighbors,0.005625486373901367,200205
52,Nearest Neighbors,0.005423307418823242,245238
53,Nearest Neighbors,0.005692005157470703,245237
54,Nearest Neighbors,0.0050928592681884766,245237
55,Nearest Neighbors,0.004235982894897461,245238
56,Nearest Neighbors,0.004319429397583008,324910
57,Nearest Neighbors,0.004651546478271484,324909
58,Nearest Neighbors,0.004547119140625,324909
59,Nearest Neighbors,0.004270076751708984,324910
60,Nearest Neighbors,0.004575252532958984,359549
61,Nearest Neighbors,0.005939960479736328,359549
62,Nearest Neighbors,0.005823612213134766,359549
63,Nearest Neighbors,0.005895376205444336,359549
64,Neural Network,0.0027217864990234375,1067371
