,Model,ID,Authentication,Accuracy,Precision,Recall,F1,FAR,FRR,Balance
0,AdaBoost,2,True,0.879,0.911,0.861,0.88,0.089,0.141,50/50
1,AdaBoost,2,True,0.869,0.848,0.861,0.85,0.152,0.103,60/40
2,AdaBoost,2,True,0.954,0.925,0.875,0.892,0.075,0.034,70/30
3,AdaBoost,2,True,0.889,0.823,0.694,0.713,0.177,0.079,80/20
4,Decision Tree,2,True,0.833,0.831,0.889,0.857,0.169,0.15,50/50
5,Decision Tree,2,True,0.81,0.854,0.722,0.755,0.146,0.183,60/40
6,Decision Tree,2,True,0.88,0.703,0.917,0.785,0.297,0.027,70/30
7,Decision Tree,2,True,0.883,0.796,0.639,0.672,0.204,0.091,80/20
8,Gaussian Naive Bayes,2,True,0.667,0.655,1.0,0.78,0.345,0.0,50/50
9,Gaussian Naive Bayes,2,True,0.607,0.625,0.944,0.708,0.375,0.037,60/40
10,Gaussian Naive Bayes,2,True,0.833,0.3,0.292,0.291,0.033,0.159,70/30
11,Gaussian Naive Bayes,2,True,0.84,0.333,0.278,0.3,0.0,0.163,80/20
12,Nearest Neighbors,2,True,0.621,0.635,0.75,0.684,0.365,0.378,50/50
13,Nearest Neighbors,2,True,0.702,0.674,0.583,0.607,0.326,0.27,60/40
14,Nearest Neighbors,2,True,0.769,0.256,0.375,0.303,0.41,0.155,70/30
15,Nearest Neighbors,2,True,0.802,0.456,0.333,0.375,0.544,0.164,80/20
16,Neural Network,2,True,0.682,0.719,0.722,0.705,0.281,0.308,50/50
17,Neural Network,2,True,0.619,0.497,0.472,0.47,0.503,0.312,60/40
18,Neural Network,2,True,0.787,0.527,0.625,0.56,0.473,0.111,70/30
19,Neural Network,2,True,0.821,0.592,0.5,0.531,0.408,0.131,80/20
20,Quadratic Discriminant Analysis,2,True,0.652,0.674,0.667,0.652,0.326,0.326,50/50
21,Quadratic Discriminant Analysis,2,True,0.595,0.529,0.833,0.633,0.471,0.15,60/40
22,Quadratic Discriminant Analysis,2,True,0.787,0.569,0.667,0.587,0.431,0.099,70/30
23,Quadratic Discriminant Analysis,2,True,0.772,0.547,0.444,0.474,0.453,0.157,80/20
24,Random Forest,2,True,0.924,0.901,0.972,0.934,0.099,0.033,50/50
25,Random Forest,2,True,0.869,0.84,0.861,0.848,0.16,0.103,60/40
26,Random Forest,2,True,0.963,0.911,0.958,0.924,0.089,0.011,70/30
27,Random Forest,2,True,0.901,0.75,0.583,0.645,0.083,0.1,80/20
28,Support Vector Machine,2,True,0.561,0.414,0.444,0.424,0.253,0.432,50/50
29,Support Vector Machine,2,True,0.655,0.411,0.556,0.466,0.256,0.229,60/40
30,Support Vector Machine,2,True,0.787,0.179,0.292,0.221,0.155,0.162,70/30
31,Support Vector Machine,2,True,0.815,0.264,0.222,0.239,0.069,0.178,80/20
